"id";"Image";"Nom";"Référence";"Catégorie";"Prix de base";"Prix final";"Quantité";"État";
"2910";"http://almoune.fr/img/p/0.jpg";"bavette Boeuf 10kg";"";"Accueil";"150.483412";"158.76";"-17";"1";
"1267";"http://almoune.fr/img/p/0.jpg";"baklava restaurant";"";"Accueil";"7.497630";"7.91";"0";"1";
"1015";"http://almoune.fr/img/p/0.jpg";"Feta combi 16kg ";"";"Accueil";"58.388626";"61.6";"-3";"1";
"2059";"http://almoune.fr/img/p/0.jpg";"Bache pour marché 2x2m";"";"Accueil";"83.800000";"100.56";"0";"1";
"2690";"http://almoune.fr/img/p/0.jpg";"Vermicelles 1KG HABO";"";"Accueil";"2.369668";"2.5";"3";"1";
"1609";"http://almoune.fr/img/p/0.jpg";"Bouillon De Poulet Ideal";"";"Accueil";"5.924171";"6.25";"0";"1";
"2854";"http://almoune.fr/img/p/0.jpg";"Mouhallabieh Al Rabih 400g";"";"Accueil";"3.781991";"3.99";"24";"1";
"1147";"http://almoune.fr/img/p/0.jpg";"Curry Espig 250gr.";"";"Épices";"2.123223";"2.24";"-5";"1";
"2286";"http://almoune.fr/img/p/0.jpg";"Kaak au lait 250gr. Moulin d'or ";"";"Accueil";"3.317536";"3.5";"-1";"1";
"2804";"http://almoune.fr/img/p/0.jpg";"Taj elmolouk 900g";"";"Accueil";"2.606635";"2.75";"-3";"1";
"2175";"http://almoune.fr/img/p/0.jpg";"Aneth 500gr.";"";"Accueil";"10.502370";"11.08";"0";"1";
"2634";"http://almoune.fr/img/p/0.jpg";"Mélange classique 250gr Beyrouti";"";"Accueil";"2.834123";"2.99";"-5";"1";
"640";"http://almoune.fr/img/p/0.jpg";"Maamoul de Qualité paquet de 5 pièces";"";"Accueil";"6.161137";"6.5";"0";"0";
"693";"http://almoune.fr/img/p/0.jpg";"Tahini Extra Syrienne Malakeh 900gr";"";"Tahini";"4.691943";"2.48";"0";"0";
"2403";"http://almoune.fr/img/p/0.jpg";"Musanara 800gr ";"";"Accueil";"10.000000";"10.55";"-11";"1";
"2580";"http://almoune.fr/img/p/0.jpg";"Semoule moyen Le renard 1kg";"";"Accueil";"2.132701";"2.25";"3";"1";
"2746";"http://almoune.fr/img/p/0.jpg";"Riz Egypcien Rihana 5kg";"";"Accueil";"10.000000";"10.55";"-5";"1";
"583";"http://almoune.fr/img/p/0.jpg";"Yaourt Yayla 1Kg 3,5% MG";"";"Accueil";"3.241706";"3.42";"0";"1";
"2523";"http://almoune.fr/img/p/0.jpg";"Ails Moulu 180gr Blue Mill";"";"Accueil";"3.317536";"3.5";"1";"1";
"2918";"http://almoune.fr/img/p/0.jpg";"Jello Fraise Aruba 85 gr";"";"Accueil";"0.938389";"0.99";"34";"1";
"2975";"http://almoune.fr/img/p/0.jpg";"Theiere 3L TEA KETTLE";"";"Accueil";"11.000000";"13.2";"1";"1";
"1842";"http://almoune.fr/img/p/0.jpg";"Blanc d'oeuf liquide 1L";"";"Accueil";"4.028436";"4.25";"-3";"1";
"1023";"http://almoune.fr/img/p/0.jpg";"Douyhe Maamoul aux dattes 1 pièce grande";"";"Gâteaux - Biscuits orientaux";"1.090047";"1.15";"-516";"1";
"1440";"http://almoune.fr/img/p/0.jpg";"Bokaj Pistache 1kg. Douaihy";"";"Accueil";"27.184834";"28.68";"-5";"1";
"2239";"http://almoune.fr/img/p/0.jpg";"Bouillon de poulet 600 gr Maggi";"";"Accueil";"4.502370";"4.75";"7";"1";
"2698";"http://almoune.fr/img/p/0.jpg";"Tahina el sham 800gr";"";"Accueil";"5.450237";"5.75";"2";"1";
"759";"http://almoune.fr/img/p/0.jpg";"kasih Tahini 18kg";"";"Accueil";"70.000000";"73.85";"0";"1";
"2473";"http://almoune.fr/img/p/0.jpg";"Hibiscus ";"";"Accueil";"1.421801";"1.5";"-18";"1";
"2862";"http://almoune.fr/img/p/0.jpg";"baklava Casti 250gr ";"";"Accueil";"5.687204";"6";"4";"1";
"1212";"http://almoune.fr/img/p/0.jpg";"derby chips 18";"";"Accueil";"4.265403";"4.5";"-45";"0";
"2294";"http://almoune.fr/img/p/0.jpg";"Paprika Spico ";"";"Accueil";"4.265403";"4.5";"-20";"1";
"2812";"http://almoune.fr/img/p/0.jpg";"Jus Pomme Mama africa 1.5 Litre";"";"Accueil";"1.886256";"1.99";"4";"1";
"2183";"http://almoune.fr/img/p/0.jpg";"Malban egypte 1 kg";"";"Accueil";"14.691943";"15.5";"-1";"1";
"2642";"http://almoune.fr/img/p/0.jpg";"Hallab Maamoul pistache 500gr";"";"Accueil";"12.322275";"13";"3";"1";
"2589";"http://almoune.fr/img/p/0.jpg";"Maamoul Hallab dattes 70gr";"";"Accueil";"1.658768";"1.75";"69";"1";
"1506";"http://almoune.fr/img/p/0.jpg";"Citron séché ou loumi jaune 150gr.";"";"Fruits secs ";"2.511848";"2.65";"11";"1";
"2754";"http://almoune.fr/img/p/0.jpg";"Vinaigre de raisin Recoltes Naturelles 500ml";"";"Accueil";"2.834123";"2.99";"9";"1";
"591";"http://almoune.fr/img/p/0.jpg";"Glace magnum classic";"";"Accueil";"0.947867";"1";"0";"1";
"1738";"http://almoune.fr/img/p/0.jpg";"Boites Plastique 500gr. ";"";"Accueil";"12.000000";"14.4";"-2";"1";
"2531";"http://almoune.fr/img/p/0.jpg";"Encens hexagonal";"";"Accueil";"7.500000";"9";"0";"1";
"2927";"http://almoune.fr/img/p/0.jpg";"Aubergine grillé Paliria 480gr";"";"Accueil";"2.796209";"2.95";"123";"1";
"2983";"http://almoune.fr/img/p/0.jpg";"Trio sesame coco arachide gateau";"";"Accueil";"3.317536";"3.5";"4";"1";
"1850";"http://almoune.fr/img/p/0.jpg";"alarjawi";"";"Accueil";"3.317536";"3.5";"-2";"1";
"1034";"http://almoune.fr/img/p/0.jpg";"Halloume nij 250gr";"";"Accueil";"3.554502";"3.75";"0";"1";
"1903";"http://almoune.fr/img/p/0.jpg";"fromage puck 500gr.";"";"Accueil";"4.729858";"4.99";"1";"1";
"1398";"http://almoune.fr/img/p/0.jpg";"Falafel Gardenia 200gr.";"";"Aliments et Laitiers";"1.895735";"2";"-23";"1";
"2247";"http://almoune.fr/img/p/0.jpg";"Maamoul dattes 500gr Khbazeh";"";"Accueil";"8.056872";"8.5";"-9";"1";
"2706";"http://almoune.fr/img/p/0.jpg";"Labneh hajdu 600gr";"";"Accueil";"4.729858";"4.99";"-48";"1";
"2481";"http://almoune.fr/img/p/0.jpg";"Homous cortas 850gr ";"";"Accueil";"2.369668";"2.5";"-255";"1";
"2870";"http://almoune.fr/img/p/0.jpg";"Ghee Alsaad Végétale 2L";"";"Accueil";"11.137441";"11.75";"-11";"1";
"1221";"http://almoune.fr/img/p/0.jpg";"Pistache grillé salé au kg";"";"Accueil";"16.018957";"16.9";"0";"1";
"1793";"http://almoune.fr/img/p/0.jpg";"Kaak anis moulin d'or";"";"Accueil";"5.924171";"6.25";"0";"1";
"2019";"http://almoune.fr/img/p/0.jpg";"Bloc de fois gras id Halal 250gr.";"";"Accueil";"19.905213";"21";"-6";"1";
"2302";"http://almoune.fr/img/p/0.jpg";"Foie de volaille par kg";"";"Accueil";"2.900000";"3.06";"-7";"1";
"2820";"http://almoune.fr/img/p/0.jpg";"Nocille Chocomix 60gr";"";"Accueil";"1.421801";"1.5";"0";"1";
"709";"http://almoune.fr/img/p/0.jpg";"Moule ";"";"Accueil";"7.083333";"8.5";"0";"1";
"1567";"http://almoune.fr/img/p/0.jpg";"Petites Pepites Degypte 500 gr";"";"Accueil";"4.265403";"4.5";"4";"1";
"2422";"http://almoune.fr/img/p/0.jpg";"ouvre boite ";"";"Accueil";"2.916667";"3.5";"-3";"1";
"2597";"http://almoune.fr/img/p/0.jpg";"Origano";"";"Accueil";"7.109005";"7.5";"-6";"1";
"888";"http://almoune.fr/img/p/0.jpg";"Epices soujok Adida 500gr";"";"Épices";"5.500000";"5.8";"-5";"1";
"1103";"http://almoune.fr/img/p/0.jpg";"Labneh Rona cond. 500g.";"";"Yaourt et Labneh";"3.080569";"3.25";"-15";"1";
"1514";"http://almoune.fr/img/p/0.jpg";"Feuilles de vigne Paliria à farcir 300gr.";"";"Légumineuses";"5.213270";"5.5";"0";"1";
"2762";"http://almoune.fr/img/p/0.jpg";"Café Glacé luna original";"";"Accueil";"0.947867";"1";"-59";"1";
"2131";"http://almoune.fr/img/p/0.jpg";"Falafel congelé pois chiche 400gr";"";"Accueil";"1.895735";"2";"-57";"1";
